claude/plan-item-kickoff-workflow-cuare2	bastler-package
claude/bastler-setup-first-time-6tfcun	bastler-package
claude/entity-query-parent-props-w789od	dag-facade-hardening
conditions-root-drop-dead-parent-recovery	dag-facade-hardening
claude/dag-parent-root-and-querygraph-followups	dag-facade-hardening
claude/dag-facade-hardening-emrhza	dag-facade-hardening
claude/symbolic-expression-stack-refactor-ridull	dag-facade-hardening
query-class-refactor	eql-core-and-code-generation
eql-core-prep	eql-core-and-code-generation
code-extraction	eql-core-and-code-generation
code-generation-extract	eql-core-and-code-generation
claude/eql-truth-unification-refactor-pfux7f	eql-core-and-code-generation
claude/split-performatives-prs-xbluus-agreement	eql-performatives
claude/split-performatives-prs-xbluus	eql-performatives
claude/performatives-clean	eql-performatives
claude/eql-performatives-unify	eql-performatives
claude/eql-verbalization-p1-surface-verification-eqltzc	eql-verbalization
claude/eql-verbalization-operand-naming-n0gb95	eql-verbalization
claude/eql-verbalization-p3-albw76	eql-verbalization
eql-symbolic-function-sdt	eql-verbalization
claude/icra-experiments-scenario-domain-n7zwpr	icra-experiments
montessori_perception_on_main	knowledge-directed-perception
perception_surfaces_from_world	knowledge-directed-perception
perception_per_supporting_surface	knowledge-directed-perception
claude/plan-item-kickoff-kdp-z4pv7l	knowledge-directed-perception
claude/plan-item-kickoff-ge8541	knowledge-directed-perception
claude/plan-item-kickoff-kdp-o4l189	knowledge-directed-perception
perception_competing_explanations	knowledge-directed-perception
claude/montessori-classes-orm-s7vxu1	knowledge-directed-perception
perception_eql_backend	knowledge-directed-perception
claude/plan-item-kickoff-perception-ogf2g9	knowledge-directed-perception
sdt_predicates_answer_whether_they_hold	knowledge-directed-perception
claude/kdp-search-constraints-pfaph7	knowledge-directed-perception
claude/knowledge-directed-perception-imagination-g9hsnr	knowledge-directed-perception
sdt_surface_finish_annotation	knowledge-directed-perception
claude/plan-item-kickoff-kdp-34snn0	knowledge-directed-perception
claude/choose-detection-method-gf64yp	knowledge-directed-perception
claude/knowledge-directed-perception-detector-zrm57t	knowledge-directed-perception
perception_interactive_rule_tuning	knowledge-directed-perception
claude/episode-replayed-world-kickoff-6ye5bb	knowledge-directed-perception
claude/plan-item-kickoff-expectations-2zvpmn	knowledge-directed-perception
perception_robokudo_detector	knowledge-directed-perception
tracy_icra	knowledge-directed-perception
claude/match-query-ergonomics-idk9w2	match-query-ergonomics
claude/match-query-ergonomics-where-rooted-b876wm	match-query-ergonomics
claude/match-query-interface-refactor-l55jym	match-query-ergonomics
claude/plan-item-kickoff-match-query-npzr78	match-query-ergonomics
claude/match-query-ergonomics-chain-tozhhq	match-query-ergonomics
claude/match-query-ergonomics-kpemmp	match-query-ergonomics
sdt_segmind_krrood_from_fast_monitor	montessori-eql-stack
montessori_monitor_and_recording	montessori-eql-stack
montessori_fast_inline_monitor	montessori-eql-stack
cramera_eql_autocomplete	montessori-eql-stack
montessori_eql_where_is_highlighting	montessori-eql-stack
montessori_event_replay	montessori-eql-stack
claude/cramera-verbalization-voice-ttwcza	montessori-eql-stack
claude/cramera-voice-questions-ttwcza	montessori-eql-stack
claude/queried-action-perform-button-vg2vz3	montessori-eql-stack
montessori_run_written_action	montessori-eql-stack
claude/label-replayed-event-tracking-vj0x2z	montessori-eql-stack
montessori_live_event_timeline_tab	montessori-eql-stack
claude/eql-underspecified-queries-hwufbl	montessori-eql-stack
claude/plan-graph-executing-node-hqkt32	montessori-eql-stack
montessori_detachable_panels	montessori-eql-stack
claude/funny-feynman-wexezs	plan-dashboards
claude/plan-dashboard-dependencies-1am49n	plan-dashboards
claude/cram2-main-drift-4owm9a	plan-dashboards
claude/plan-item-kickoff-workflow-s9e8bj	plan-dashboards
claude/deferred-dependency-drift-pr-qxpfsm	plan-dashboards
claude/dashboard-bugfix-pr-section-161vf8	plan-dashboards
claude/dashboard-chip-collapse-g5uyj1	plan-dashboards
claude/plan-dashboard-cache-drift-0g2s1w	plan-dashboards
claude/hidden-deferred-plan-items-6weef1	plan-dashboards
claude/rdr-dashboard-refresh-button-tpuvo9	plan-dashboards
claude/shared-pr-state-chips	plan-dashboards
claude/plan-dashboards-cross-dependencies-h3icfd	plan-dashboards
claude/plan-size-limits-budget-alp8p2	plan-size-limits
claude/add-plan-item-skill-e89irj	plan-tracking-skills
claude/plan-item-kickoff-workflow-vocs6b	plan-tracking-skills
claude/plan-item-kickoff-modes-p1yuwc	plan-tracking-skills
claude/plan-item-bootstrap-yaml-indent-y8qs0m	plan-tracking-skills
ripple-down-rules-refactor	rdr-core-engine
rdr-backward-inference	rdr-core-engine
claude/rdr-refactor-steward-pass-uxewqh	rdr-core-engine
D-core-aid	rdr-core-engine
D-core-underspecified	rdr-core-engine
D-core-corner-case	rdr-core-engine
D-core-serialization	rdr-core-engine
D-core-support	rdr-core-engine
D-core-expert	rdr-core-engine
D-core-single-class	rdr-core-engine
D-core-backend	rdr-core-engine
D-core-engine	rdr-core-engine
rdr-engine	rdr-core-engine
rdr/feature-registry	rdr-engine-extensions
rdr/feature-capture	rdr-engine-extensions
rdr/multi-class	rdr-engine-extensions
rdr/general-fixpoint	rdr-engine-extensions
rdr/concept-trees	rdr-engine-extensions
rdr/oo-definitions	rdr-engine-extensions
rdr/justifications	rdr-engine-extensions
rdr/oo-recognition	rdr-engine-extensions
rdr/backend-unification	rdr-engine-extensions
rdr/architecture-brief	rdr-engine-extensions
claude/rdr-why-answer-6fnw2o	rdr-explanation
eql/causal-verbalization	rdr-explanation
eql/attribute-predicate-verbalization	rdr-explanation
rdr/why-query-surface	rdr-explanation
rdr/decision-queries	rdr-explanation
montessori/choice-policies	rdr-explanation
